Countries,Government Size,Economic Freedom
Mauritania,5.398039216,5.6
Angola,5.399068003,5.13
Taiwan,5.400444783,7.1
Poland,5.40080014,6.89
Spain,5.402296041,7.32
Greece,5.402328097,6.69
Italy,5.403697643,7.22
Burkina Faso,5.405461604,6.05
Portugal,5.408417513,7.52
Latvia,5.41301821,5.68
Germany,5.413564333,7.55
Cape Verde,5.415419138,6.38
United Kingdom,5.417980888,8.21
Peru,5.420848386,2.47
Iceland,5.420955045,7.02
Algeria,5.421206449,4.99
Azerbaijan,5.421437713,6.19
Oman,5.421994711,7.13
Trinidad & Tob.,5.422396636,6.77
Portugal,5.424472309,7.4
Argentina,5.429127197,5.58
Iceland,5.43053475,7.23
Ireland,5.430976576,7.87
Mauritania,5.432352941,5.78
Lithuania,5.434736367,7.2
Belgium,5.434989473,7.44
Italy,5.438315217,7.31
Bulgaria,5.439362867,6.81
Burundi,5.440448241,5.07
Iceland,5.440940619,7.25
Trinidad & Tob.,5.446249422,6.65
France,5.447183712,6.51
Italy,5.44787404,7.27
Iceland,5.451234737,7.22
Ecuador,5.452154468,5.7
Lithuania,5.452685924,6.92
Germany,5.457487177,7.59
Estonia,5.459773201,7.7
Iceland,5.461084071,7.8
Portugal,5.463685425,7.44
Poland,5.464370281,7.24
Slovak Rep,5.466939484,6.81
Swaziland,5.467376671,6.46
Ireland,5.467758046,7.85
Mozambique,5.469607843,5.45
Guyana,5.473529412,6.21
Georgia,5.475192339,7.41
Cape Verde,5.477133082,6.56
Bosnia and Herzegovina,5.47769263,6.18
Honduras,5.477752312,5.73
Kuwait,5.479145296,7.03
Iran,5.479601105,5.77
Slovak Rep,5.480600686,6.89
Germany,5.480871153,7.69
Zimbabwe,5.481784526,4.69
Germany,5.486786467,7.68
